17:17:16.231 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
22:53:22.198 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:53:22.199 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Demo
22:57:40.711 [Worker-182: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:57:40.716 [Worker-182: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:57:40.718 [Worker-182: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:57:40.719 [Worker-182: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
23:00:53.257 [Worker-184: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
23:00:53.262 [Worker-184: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
23:00:53.267 [Worker-184: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
23:00:53.268 [Worker-184: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
23:04:44.972 [Worker-188: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
23:04:45.018 [Worker-188: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
23:04:45.032 [Worker-188: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
23:04:45.038 [Worker-188: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
23:05:35.658 [Worker-193: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
23:05:35.660 [Worker-193: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
23:05:35.663 [Worker-193: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
23:05:35.664 [Worker-193: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
23:08:34.669 [Worker-194: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
23:08:34.672 [Worker-194: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
23:08:34.677 [Worker-194: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
23:08:34.678 [Worker-194: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
